Index,X,Y,Z
0,1079047.38,-4853357.64,3981837.68
1,1079047.36,-4853357.59,3981837.59
2,1079047.34,-4853357.53,3981837.50
3,1079047.32,-4853357.48,3981837.41
4,1079047.30,-4853357.45,3981837.30
5,1079047.27,-4853357.47,3981837.27
6,1079047.23,-4853357.42,3981837.18
7,1079047.20,-4853357.45,3981837.15
8,1079047.14,-4853357.41,3981837.06
9,1079047.07,-4853357.36,3981836.98
10,1079047.00,-4853357.30,3981836.92
11,1079046.95,-4853357.32,3981836.91
12,1079046.89,-4853357.27,3981836.83
13,1079046.80,-4853357.20,3981836.78
14,1079046.73,-4853357.13,3981836.72
15,1079046.64,-4853357.07,3981836.66
16,1079046.59,-4853357.10,3981836.63
17,1079046.53,-4853357.04,3981836.56
18,1079046.48,-4853357.06,3981836.55
19,1079046.48,-4853357.06,3981836.55
20,1079046.45,-4853357.05,3981836.56
21,1079046.42,-4853356.97,3981836.52
22,1079046.42,-4853356.95,3981836.55
23,1079046.42,-4853356.91,3981836.59
24,1079046.45,-4853356.88,3981836.62
25,1079046.47,-4853356.76,3981836.59
26,1079046.50,-4853356.72,3981836.64
27,1079046.54,-4853356.69,3981836.67
28,1079046.53,-4853356.59,3981836.63
29,1079046.55,-4853356.55,3981836.68
30,1079046.55,-4853356.51,3981836.72
31,1079046.56,-4853356.47,3981836.77
32,1079046.54,-4853356.37,3981836.73
33,1079046.55,-4853356.34,3981836.76
34,1079046.53,-4853356.33,3981836.79
35,1079046.52,-4853356.33,3981836.79
36,1079046.50,-4853356.23,3981836.76
37,1079046.50,-4853356.23,3981836.76
38,1079046.48,-4853356.16,3981836.69
39,1079046.48,-4853356.16,3981836.69
40,1079046.44,-4853356.09,3981836.63
41,1079046.42,-4853356.09,3981836.63
42,1079046.41,-4853356.08,3981836.64
43,1079046.38,-4853356.08,3981836.66
44,1079046.36,-4853356.08,3981836.66
45,1079046.36,-4853356.16,3981836.72
46,1079046.38,-4853356.16,3981836.72
47,1079046.38,-4853356.16,3981836.72
48,1079046.39,-4853356.23,3981836.78
49,1079046.39,-4853356.23,3981836.78
50,1079046.42,-4853356.23,3981836.77
51,1079046.47,-4853356.31,3981836.82
52,1079046.48,-4853356.33,3981836.80
53,1079046.51,-4853356.33,3981836.79
54,1079046.54,-4853356.43,3981836.82
55,1079046.57,-4853356.45,3981836.80
56,1079046.56,-4853356.47,3981836.77
57,1079046.56,-4853356.47,3981836.77
58,1079046.57,-4853356.48,3981836.75
59,1079046.55,-4853356.51,3981836.72
60,1079046.53,-4853356.45,3981836.64
61,1079046.53,-4853356.45,3981836.63
62,1079046.52,-4853356.47,3981836.62
63,1079046.49,-4853356.42,3981836.52
64,1079046.48,-4853356.45,3981836.49
65,1079046.48,-4853356.46,3981836.48
66,1079046.46,-4853356.48,3981836.47
67,1079046.45,-4853356.50,3981836.44
68,1079046.46,-4853356.60,3981836.47
69,1079046.48,-4853356.61,3981836.45
70,1079046.49,-4853356.62,3981836.45
71,1079046.50,-4853356.64,3981836.41
72,1079046.50,-4853356.66,3981836.40
73,1079046.52,-4853356.66,3981836.38
74,1079046.54,-4853356.68,3981836.36
75,1079046.53,-4853356.64,3981836.25
76,1079046.55,-4853356.67,3981836.20
77,1079046.57,-4853356.70,3981836.16
78,1079046.60,-4853356.72,3981836.13
79,1079046.63,-4853356.73,3981836.11
80,1079046.66,-4853356.74,3981836.09
81,1079046.69,-4853356.75,3981836.08
82,1079046.70,-4853356.68,3981836.00
83,1079046.73,-4853356.70,3981835.97
84,1079046.78,-4853356.70,3981835.95
85,1079046.83,-4853356.72,3981835.91
86,1079046.88,-4853356.73,3981835.88
87,1079046.91,-4853356.76,3981835.84
88,1079046.96,-4853356.78,3981835.80
89,1079047.02,-4853356.88,3981835.82
90,1079047.08,-4853356.91,3981835.77
91,1079047.14,-4853357.00,3981835.80
92,1079047.17,-4853356.99,3981835.80
93,1079047.20,-4853356.98,3981835.80
94,1079047.21,-4853357.06,3981835.88
95,1079047.23,-4853357.06,3981835.88
96,1079047.21,-4853357.06,3981835.88
97,1079047.20,-4853357.05,3981835.88
98,1079047.17,-4853357.06,3981835.88
99,1079047.16,-4853357.05,3981835.90
100,1079047.13,-4853357.06,3981835.90
101,1079047.08,-4853357.05,3981835.93
102,1079047.05,-4853356.96,3981835.88
103,1079047.02,-4853356.95,3981835.90
104,1079047.00,-4853356.95,3981835.91
105,1079046.96,-4853356.87,3981835.86
106,1079046.94,-4853356.84,3981835.91
107,1079046.92,-4853356.81,3981835.93
108,1079046.88,-4853356.72,3981835.90
109,1079046.86,-4853356.68,3981835.95
110,1079046.83,-4853356.65,3981836.00
111,1079046.77,-4853356.55,3981835.98
112,1079046.74,-4853356.53,3981836.01
